companyId,companyFullName,companyLabelList,companyShortName,companySize,businessZones
108882,上海理世机器人,"['免费班车', '弹性工作', '五险一金', '岗位晋升']",LS,50-150人,
14983,上海游族信息技术有限公司,"['五险一金', '免费班车', '岗位晋升', '帅哥多']",游族网络,500-2000人,
84039,数数信息科技（上海）有限公司,"['节日礼物', '股票期权', '带薪年假', '年终分红']",Thinking Data,15-50人,"['虹桥', '古北', '遵义路']"
3038,北京国双科技有限公司,"['年度旅游', '节日礼物', '年底双薪', '带薪年假']",Gridsum 国双,500-2000人,"['南京西路', '静安寺', '北京西路']"
103191,微鲸科技有限公司,"['扁平管理', '美女多', '帅哥多', '定期体检']",微鲸科技,500-2000人,['张江']
119760,上海教育软件发展有限公司,"['交通补助', '定期体检', '午餐补助', '带薪年假']",上海教育软件,150-500人,
35686,中科柏诚科技（北京）有限公司,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']",柏诚科技,150-500人,"['东方路', '潍坊', '塘桥']"
55982,北京时代正邦科技股份有限公司,"['技能培训', '岗位晋升', '扁平管理', '领导好']",时代正邦,150-500人,
15533,乐其网络科技有限公司,"['绩效奖金', '带薪年假', '年度旅游', '弹性工作']",乐其网络,500-2000人,"['中山公园', '江苏路地铁', '镇宁路']"
90448,上海小雨金融信息服务有限公司,"['节日礼物', '带薪年假', '领导好', '定期体检']",雨点金服,15-50人,
100538,和金在线（北京）科技有限公司,"['专项奖金', '股票期权', '带薪年假', '领导好']",和金在线,50-150人,"['世纪公园', '联洋', '洋泾']"
46038,上海凯淳实业有限公司,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",上海凯淳实业有限公司,500-2000人,"['肇嘉浜路', '交通大学', '徐家汇']"
55215,上海网波软件股份有限公司,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",网波软件,50-150人,"['长阳路', '周家嘴路', '平凉路']"
1403,上海悦易网络信息技术有限公司,"['节日礼物', '股票期权', '专项奖金', '带薪年假']",爱回收,500-2000人,"['五角场', '大学区', '长海医院']"
67532,上海牛娃互联网金融信息服务有限公司,"['节日礼物', '技能培训', '绩效奖金', '岗位晋升']",牛娃互联网金融,150-500人,"['复兴公园', '新天地', '淮海路']"
89386,上海东方申信科技发展有限公司,"['年轻活力', '制造业信息化', '扁平管理', '领导好']",东方申信,15-50人,"['交通大学', '徐家汇', '淮海西路']"
64855,天津卡氏创新股权投资基金合伙企业（有限合伙）,"['年底双薪', '带薪年假', '扁平管理', '领导好']",卡氏中国基金,少于15人,"['南京西路', '北京西路', '西康路']"
140735,上海票管家金融服务有限公司,,票管家金融,15-50人,"['东外滩', '外滩', '陆家嘴']"
110338,北京聚创家园网络科技有限公司上海分公司,,上海聚创,15-50人,"['花木', '陆家嘴', '世纪公园']"
150868,CMC Wiseme HK Limited,"['交通补助', '专项奖金', '绩效奖金', '通讯津贴']",CMC,50-150人,['斜土路']
118231,上海节点供应链管理有限公司,"['绩效奖金', '股票期权', '帅哥多', '扁平管理']",节点,15-50人,"['梅川路', '金沙江路', '长征']"
113723,上海拿米金融信息服务有限公司,"['年底双薪', '股票期权', '带薪年假', '通讯津贴']",上海拿米金服,50-150人,"['田林', '漕河泾', '漕宝路']"
87159,上汽通用汽车金融有限责任公司,,SAIC-GMAC,500-2000人,"['梅园', '陆家嘴', '十六铺']"
153676,浩天华宇（上海）互联网科技有限公司,,浩天科技,50-150人,['五角场']
109273,搜房,"['带薪年假', '五险一金', '岗位晋升', '午餐补助']",房天下,2000人以上,
2044,深圳市金斧子网络科技有限公司,"['股票期权', '绩效奖金', '年底双薪', '五险一金']",金斧子,150-500人,
15175,深圳市分期乐网络科技有限公司,"['年终分红', '绩效奖金', '专项奖金', '年底双薪']",分期乐,2000人以上,"['田林', '漕河泾', '上海师大']"
53294,上海凭安征信服务有限公司,"['巨头投资', '股票期权', '千亿蓝海', '有钱途']",凭安信用,50-150人,
40197,上海巧房信息科技有限公司,"['年底双薪', '带薪年假', '绩效奖金', '岗位晋升']",巧房科技,50-150人,['张江']
51677,上海风寻信息技术有限公司,"['技能培训', '股票期权', '带薪年假', '绩效奖金']",上海风寻信息技术有限公司,50-150人,"['枫林路', '肇嘉浜路']"
38219,通联商务服务有限公司,"['节日礼物', '定期体检', '绩效奖金', '人才晋升快']",通联商务服务有限公司,50-150人,['世纪公园']
87551,上海点掌文化传媒股份有限公司,"['岗位晋升', '领导好', '美女多', '五险一金']",点掌传媒,50-150人,"['曹杨', '华师大', '武宁路']"
151086,上海正纳信息技术有限公司,,正纳信息,15-50人,['镇宁路']
124840,上海西弗瑞环境科技有限公司,,西弗瑞,15-50人,"['四平路', '大连', '和平公园']"
72030,上海分尚网络科技有限公司,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",FlowerPlus,150-500人,
112315,上海智树信息科技有限公司,,智树科技,15-50人,"['漕宝路', '田林', '漕河泾']"
13629,上海起凡数字技术有限公司,"['绩效奖金', '专项奖金', '五险一金', '通讯津贴']",上海起凡数字技术有限公司,500-2000人,"['东方路', '塘桥', '潍坊']"
82538,上海奇鸟互联网金融信息服务有限公司,"['年底奖金', '季度奖金', '岗位晋升', '五险一金']",口袋记账,15-50人,['张江']
16875,北京东方国信科技股份有限公司,"['大数据软件', '技能培训', '节日礼物', '年底双薪']",东方国信,2000人以上,"['虹梅路', '田林', '虹桥']"
78151,上海热巢网络科技有限公司,"['股票期权', '带薪年假', '扁平管理', '管理规范']",热巢,15-50人,
136395,上海富维金属有限公司,,上海富维,50-150人,"['五角场', '大学区', '长海医院']"
150950,上海信木投资管理有限公司,,上海信木投资管理有限公司,15-50人,['五里桥']
119209,上海悦程信息技术有限公司,"['年底双薪', '专项奖金', '绩效奖金', '带薪年假']",NSOC大数据安全智能,15-50人,['张江']
