positionId,city,companyId,firstType,secondType,education,industryField,positionAdvantage,positionName,positionLables,salary,workYear
1969409,上海,21236,运营,运营,本科,"移动互联网,医疗健康",周末双休 带薪年假 人才推荐奖 节日福利,数据分析师-移动端用户行为分析（埋点）,"['移动', '分析师', '数据分析', '移动端', '数据']",6k-10k,1-3年
2388205,上海,35713,市场与销售,数据分析,本科,企业服务,"业内最专业,数据可视化,大平台",行业分析师,"['商业', '分析师']",10k-17k,1-3年
2468537,上海,5674,金融,天使投资/VC/PE,本科,"金融,移动互联网",扁平化管理，弹性工作，发展空间大,财经编辑/分析师,"['分析师', '编辑', '财经']",8k-15k,1-3年
1961101,上海,111512,技术,后端开发,本科,"移动互联网,数据服务",股权激励、年终奖金、绩效奖金、岗位晋升,数据工程师,['数据'],15k-25k,1-3年
2578438,上海,36149,运营/编辑/客服,运营,本科,金融,"五险一金,绩效奖金,交通便利",数据专员,"['数据', '专员']",4k-6k,1-3年
2433177,上海,36849,技术,后端开发,本科,电子商务,"互联网电商,大数据平台,技术氛围好",大数据开发工程师,"['大数据', '数据库', '数据']",15k-20k,1-3年
1230042,上海,66311,技术,后端开发,本科,"移动互联网,金融",薪资优待 福利完善,大数据开发工程师,"['大数据', '数据库', '数据']",15k-25k,1-3年
2188681,上海,122536,技术,数据开发,本科,"移动互联网,电子商务",国家法定假日五险一金、节日礼品、生日福利,大数据算法工程师（模型和分析）,"['搜索', '大数据', '数据', '算法']",20k-25k,1-3年
1438019,上海,30533,技术,高端技术职位,本科,"移动互联网,O2O",五险一金，带薪年假，工作环境好，前景好,大数据研发工程师,"['大数据', '数据']",20k-30k,1-3年
2581412,上海,34331,运营/编辑/客服,运营,大专,"移动互联网,社交网络",领导好、福利赞、发展迅猛,数据分析主管,"['数据', '数据分析']",7k-10k,1-3年
2052967,上海,42029,技术,数据开发,不限,金融,"技术驱动,区块链技术,硅谷文化,多元化团队",数据工程师 / Data Engineer,"['数据挖掘', '数据']",10k-20k,1-3年
2286790,上海,7030,技术,后端开发,本科,"移动互联网,数据服务",7亿用户量产品公司、待遇从优、牛人云集~,大数据工程师,"['大数据', '数据']",15k-30k,1-3年
2284485,上海,51480,市场与销售,市场/营销,本科,移动互联网,业务发展迅速、平台大、成长快、团队氛围好,数据/业务分析师,"['分析师', '数据']",10k-18k,1-3年
2581935,上海,34331,运营/编辑/客服,运营,不限,"移动互联网,社交网络","老板逗逼,大牛云集,弹性时间,福利暖心",数据分析主管,"['数据', '数据分析']",6k-8k,1-3年
2566650,上海,37566,运营,运营,本科,数据服务,"双休,五险一金,13薪",互联网数据分析师,,8k-10k,1-3年
1145187,上海,62777,技术,后端开发,本科,"移动互联网,数据服务",工作氛围佳；优秀团队；公司发展前景好,大数据开发工程师,"['大数据', '数据库', '数据']",10k-15k,1-3年
2462445,上海,34683,技术,后端开发,本科,金融,C轮 技术金融 美式氛围 无限量零食饮料,大数据工程师,"['大数据', '数据']",15k-25k,1-3年
643853,上海,22246,职能,行政,不限,移动互联网,工作环境好 氛围融洽 能学到工作经验,数据处理助理,['数据'],3k-4k,1-3年
2530621,上海,30533,技术,后端开发,本科,"移动互联网,O2O",弹性工作、五险一金、大牛如云,大数据开发工程师,"['大数据', '数据库', '数据']",15k-30k,1-3年
